[Script Info]
; Script generated by Aegisub 3.4.2
; http://www.aegisub.org/
ScriptType: v4.00+
PlayResX: 1440
PlayResY: 1080
WrapStyle: 2
YCbCr Matrix: TV.709

[Aegisub Project Garbage]
Audio File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 72
Active Line: 2
Video Position: 1449

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,sans-serif,72,&H00FFFFFF,&H00FFFFFF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,4,0,8,2,15,15,20,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:04:17.96,9:59:59.99,Default,,0,0,0,,知らないのではないか？
Dialogue: 0,0:04:21.46,9:59:59.99,Default,,0,0,0,,君への認識も恐らく…｡
Dialogue: 0,0:04:23.80,9:59:59.99,Default,,0,0,0,,｟あぁ？ あれは…｡
Dialogue: 0,0:04:26.13,9:59:59.99,Default,,0,0,0,,祈念式に来た
Dialogue: 0,0:04:26.13,9:59:59.99,Default,,0,0,0,,青色巫女じゃないか｠
Dialogue: 0,0:04:29.64,9:59:59.99,Default,,0,0,0,,では わたくしが
Dialogue: 0,0:04:29.64,9:59:59.99,Default,,0,0,0,,領主の養女ということも…｡
Dialogue: 0,0:04:33.41,9:59:59.99,Default,,0,0,0,,無論 知らないであろう｡
Dialogue: 0,0:04:35.58,9:59:59.99,Default,,0,0,0,,ベンノ 前神殿長について➡
Dialogue: 0,0:04:38.41,9:59:59.99,Default,,0,0,0,,下町では
Dialogue: 0,0:04:38.41,9:59:59.99,Default,,0,0,0,,どのような噂が出回っている？
Dialogue: 0,0:04:40.58,9:59:59.99,Default,,0,0,0,,ありません｡
Dialogue: 0,0:04:42.58,9:59:59.99,Default,,0,0,0,,新しい神殿長は
Dialogue: 0,0:04:42.58,9:59:59.99,Default,,0,0,0,,本物の祝福を与えられる➡
Dialogue: 0,0:04:45.42,9:59:59.99,Default,,0,0,0,,聖女だという噂で
Dialogue: 0,0:04:45.42,9:59:59.99,Default,,0,0,0,,もちきりですが➡
Dialogue: 0,0:04:48.09,9:59:59.99,Default,,0,0,0,,前神殿長は引退したのだろうと➡
Dialogue: 0,0:04:50.42,0:04:52.52,Default,,0,0,0,,誰も 気にしていませんから｡
Dialogue: 0,0:04:55.09,0:04:59.49,Default,,0,0,0,,《だから 聖女伝説は
Dialogue: 0,0:04:55.09,0:04:59.49,Default,,0,0,0,,やりすぎだって言ったのに》
Dialogue: 0,0:05:03.60,9:59:59.99,Default,,0,0,0,,死んだ後まで厄介な…｡
Dialogue: 0,0:05:06.11,9:59:59.99,Default,,0,0,0,,《また何か考えてる…》
Dialogue: 0,0:05:08.61,0:05:10.61,Default,,0,0,0,,ひゃ!?
Dialogue: 0,0:05:12.95,9:59:59.99,Default,,0,0,0,,神官長 今 何だか変なことが…｡
Dialogue: 0,0:05:16.78,9:59:59.99,Default,,0,0,0,,ハッセの小神殿に➡
Dialogue: 0,0:05:18.79,9:59:59.99,Default,,0,0,0,,押し入ろうとしている者が
Dialogue: 0,0:05:18.79,9:59:59.99,Default,,0,0,0,,いるようだ｡
Dialogue: 0,0:05:21.62,0:05:24.62,Default,,0,0,0,,守りの陣に
Dialogue: 0,0:05:21.62,0:05:24.62,Default,,0,0,0,,わずかな干渉が感じられる｡
Dialogue: 0,0:05:26.63,9:59:59.99,Default,,0,0,0,,ええっ!?
Dialogue: 0,0:05:26.63,9:59:59.99,Default,,0,0,0,,(ドアが開く音)
Dialogue: 0,0:05:28.63,0:05:31.53,Default,,0,0,0,,ロｰゼマイン 来なさい｡
Dialogue: 0,0:05:33.40,9:59:59.99,Default,,0,0,0,,♬〜
Dialogue: 0,0:05:54.25,0:05:56.25,Default,,0,0,0,,シュピｰゲルン｡
Dialogue: 0,0:05:59.09,0:06:01.99,Default,,0,0,0,,《ハッセの小神殿だ…！》
Dialogue: 0,0:06:03.93,9:59:59.99,Default,,0,0,0,,あっ 誰かが来ました｡
Dialogue: 0,0:06:06.27,9:59:59.99,Default,,0,0,0,,大方 子供達を取り返しにでも
Dialogue: 0,0:06:06.27,9:59:59.99,Default,,0,0,0,,来たのであろう｡
Dialogue: 0,0:06:10.10,0:06:12.10,Default,,0,0,0,,え…!?
Dialogue: 0,0:06:14.11,9:59:59.99,Default,,0,0,0,,ここにいるのは分かってるんだ｡
Dialogue: 0,0:06:16.11,9:59:59.99,Default,,0,0,0,,出てこい！ うわっ…｡
Dialogue: 0,0:06:18.11,9:59:59.99,Default,,0,0,0,,何やってるんだよ｡
Dialogue: 0,0:06:21.28,9:59:59.99,Default,,0,0,0,,ぐわっ！
Dialogue: 0,0:06:23.28,9:59:59.99,Default,,0,0,0,,俺に任せろ！
Dialogue: 0,0:06:26.29,9:59:59.99,Default,,0,0,0,,ダメ！
Dialogue: 0,0:06:28.29,9:59:59.99,Default,,0,0,0,,(一同)ぐわっ！
Dialogue: 0,0:06:30.46,9:59:59.99,Default,,0,0,0,,なんだ これ…｡
